2,  982, 829, 16, 4, 60538, 
4, 1223, 143, 19, 0, 19, 
2,  1013, 114, 13, 2, 60538, 
2,  500, 643, 20, 3, 60538, 
2,  198, 768, 13, 3, 60538, 
4, 1592, 883, 13, 0, 13, 
2,  787, 833, 13, 3, 60538, 
4, 990, 97, 13, 0, 13, 
4, 716, 236, 13, 0, 13, 
4, 1334, 67, 17, 0, 17, 
3, 3, 5, 15.0, 16, 15.0625, 5, 21, 15.047619047619047, 21, 15.0, 242, 
4, 486, 63, 15, 0, 15, 
4, 486, 63, 15, -1, 14, 
4, 1107, 173, 13, 0, 13, 
4, 1107, 173, 13, 0, 13, 
4, 809, 184, 19, 0, 19, 
4, 809, 184, 19, 0, 19, 
4, 761, 620, 15, 0, 15, 
4, 725, 698, 14, 0, 14, 
4, 183, 203, 17, 0, 17, 
4, 944, 364, 13, 0, 13, 
4, 944, 364, 13, 0, 13, 
4, 1238, 183, 13, 0, 13, 
4, 1404, 783, 13, 0, 13, 
4, 1404, 783, 13, -4, 9, 
4, 409, 416, 17, 0, 17, 
4, 409, 416, 17, 0, 17, 
4, 1366, 661, 13, 0, 13, 
4, 1366, 661, 13, -3, 10, 
2,  1477, 826, 17, 6, 80640, 
4, 1483, 444, 13, 0, 13, 
4, 1134, 712, 13, 0, 13, 
4, 1105, 60, 13, 0, 13, 
4, 1105, 60, 13, 0, 13, 
3, 4, 1, 17.0, 20, 14.95, 22, 21, 15.047619047619047, 42, 14.045454545454545, 349, 
1, 355, 812, 19, 5, 9, 5, 85934, 
1, 1225, 617, 15, 6, 10, 8, 91153, 
4, 1177, 485, 13, 0, 13, 
2,  264, 544, 19, 8, 100651, 
2,  230, 771, 15, 6, 100651, 
4, 873, 617, 17, 0, 17, 
4, 254, 652, 13, 0, 13, 
2,  687, 664, 13, 5, 100651, 
2,  690, 693, 17, 7, 100651, 
2,  305, 759, 13, 3, 100651, 
4, 1196, 409, 13, 0, 13, 
4, 604, 508, 13, 0, 13, 
4, 604, 508, 13, 0, 13, 
4, 604, 508, 13, 0, 13, 
2,  865, 812, 19, 5, 100652, 
4, 1211, 444, 13, 0, 13, 
4, 1521, 325, 17, 0, 17, 
4, 898, 652, 15, 0, 15, 
2,  235, 815, 14, 2, 100652, 
4, 641, 470, 13, 0, 13, 
2,  21, 875, 13, 3, 100652, 
2,  572, 783, 19, 6, 100652, 
2,  960, 391, 15, 6, 100652, 
4, 329, 373, 14, 0, 14, 
4, 329, 373, 14, -2, 12, 
2,  1362, 310, 13, 4, 100652, 
4, 639, 236, 13, 0, 13, 
4, 639, 236, 13, 0, 13, 
2,  590, 808, 13, 5, 100652, 
2,  1420, 446, 17, 6, 100652, 
2,  1406, 808, 17, 3, 100652, 
4, 203, 524, 13, 0, 13, 
4, 203, 524, 13, 0, 13, 
4, 1118, 159, 13, 0, 13, 
3, 5, 16, 14.75, 26, 14.307692307692308, 18, 42, 14.476190476190476, 44, 13.555555555555555, 233, 
2,  74, 776, 13, 5, 120645, 
4, 1361, 264, 19, 0, 19, 
2,  1430, 764, 17, 6, 120646, 
2,  302, 67, 17, 2, 120646, 
2,  369, 442, 13, 5, 120646, 
2,  523, 111, 13, 5, 120646, 
4, 659, 626, 13, 0, 13, 
2,  140, 205, 13, 3, 120646, 
2,  1160, 432, 17, 7, 120646, 
2,  231, 617, 15, 3, 120646, 
4, 1331, 458, 13, 0, 13, 
2,  1395, 771, 19, 5, 120646, 
2,  1248, 140, 17, 5, 120646, 
2,  1192, 605, 13, 5, 120646, 
4, 291, 104, 13, 0, 13, 
4, 291, 104, 13, 0, 13, 
4, 893, 356, 13, 0, 13, 
4, 893, 356, 13, 0, 13, 
2,  1137, 749, 13, 5, 120646, 
4, 1012, 184, 13, 0, 13, 
4, 1012, 184, 13, 4, 17, 
4, 428, 771, 13, 0, 13, 
4, 1065, 839, 13, 0, 13, 
2,  718, 257, 17, 4, 120646, 
2,  1000, 176, 13, 4, 120646, 
2,  1009, 342, 13, 3, 120646, 
2,  1238, 445, 17, 3, 120646, 
